"","BIC","delta","weights","dist25k","dist_continents","area_km2","w_mean_growing_season","max_elevation","w_mean_temperature_seasonality","w_mean_Seasonality_Precipitation","model_id","Nparam"
"73",22198.8591662012,1013.99594596545,6.01259215074278e-221,"X","X"," "," ","X"," "," ",73,3
"74",22209.8654516261,1025.00223139035,2.44949880779015e-223,"X","X","X"," "," "," "," ",74,3
"75",22211.7918452872,1026.92862505145,9.34902161598324e-224," ","X"," "," "," "," ","X",75,2
"76",22216.1967419648,1031.33352172909,1.03336798796827e-224," ","X"," ","X"," "," ","X",76,3
"77",22237.748738435,1052.88551819931,2.15922765119468e-229,"X"," "," "," "," ","X"," ",77,2
"78",22242.6648288538,1057.80160861813,1.84834468271639e-230,"X"," "," ","X"," ","X"," ",78,3
"79",22248.1442564013,1063.2810361656,1.19382422835904e-231," ","X","X","X","X"," "," ",79,4
"80",22281.224389907,1096.36116967127,7.82853806268946e-239," ","X"," ","X","X"," "," ",80,3
"81",22285.2704500672,1100.40722983149,1.03535638700073e-239," ","X","X","X"," "," "," ",81,3
"82",22290.3769103452,1105.5136901095,8.05816408614455e-241," ","X","X"," ","X"," "," ",82,3
"83",22302.0620131289,1117.19879289323,2.33802029573014e-243," "," ","X"," ","X","X"," ",83,3
"84",22305.9438085237,1121.08058828796,3.35681275663725e-244," "," ","X","X","X","X"," ",84,4
"85",22319.5772853628,1134.71406512705,3.67667495495251e-247,"X","X"," ","X"," "," "," ",85,3
"86",22323.2270027115,1138.36378247576,5.92828650438309e-248," ","X"," "," ","X"," "," ",86,2
"87",22326.628779475,1141.76555923927,1.08203857977037e-248," ","X","X"," "," "," "," ",87,2
"88",22329.4642607645,1144.60104052884,2.62135480162836e-249," "," "," "," ","X","X"," ",88,2
"89",22331.1912745349,1146.32805429923,1.10537472904258e-249,"X","X"," "," "," "," "," ",89,2
"90",22332.8549630511,1147.99174281535,4.81109752477521e-250,"X"," ","X","X","X"," ","X",90,5
"91",22333.4143351567,1148.55111492098,3.63729102583233e-250," "," "," ","X","X","X"," ",91,3
"92",22345.844040356,1160.98082012028,7.27280362483777e-253,"X"," ","X"," ","X"," ","X",92,4
"93",22361.5983304288,1176.73511019306,2.75867944377343e-256,"X"," "," ","X","X"," ","X",93,4
"94",22371.0439170213,1186.18069678562,2.45255169944e-258," "," ","X"," "," ","X"," ",94,2
"95",22373.9694769137,1189.10625667797,5.67990291045291e-259,"X"," "," "," ","X"," ","X",95,3
"96",22375.0498027317,1190.18658249599,3.30941431739243e-259," "," ","X","X"," ","X"," ",96,3
"97",22381.4459709046,1196.5827506689,1.35157724063504e-260,"X"," ","X","X"," "," ","X",97,4
"98",22394.5629960401,1209.69977580437,1.91652748719788e-263,"X"," ","X"," "," "," ","X",98,3
"99",22412.081697743,1227.21847750731,3.00868909907292e-267," ","X"," ","X"," "," "," ",99,2
"100",22452.08271951,1267.21949927427,6.19820306678773e-276," ","X"," "," "," "," "," ",100,1
"101",22510.321946353,1325.45872611727,1.39887328550799e-288,"X"," "," ","X"," "," ","X",101,3
"102",22514.4928456967,1329.62962546097,1.73811733778843e-289," "," "," "," "," ","X"," ",102,1
"103",22518.7590244716,1333.8958042359,2.05916022764255e-290," "," "," ","X"," ","X"," ",103,2
"104",22522.1884516758,1337.32523144009,3.70680282968362e-291,"X"," "," "," "," "," ","X",104,2
"105",22568.7656693791,1383.90244914336,2.85026454394055e-301," "," ","X","X","X"," ","X",105,4
"106",22580.9484274194,1396.08520718368,6.44811649079145e-304," "," ","X"," ","X"," ","X",106,3
"107",22589.7109527819,1404.84773254619,8.0663055419585e-306," "," "," ","X","X"," ","X",107,3
"108",22601.3643799644,1416.50115972869,2.37774407542094e-308," "," "," "," ","X"," ","X",108,2
"109",22646.3563678975,1461.49314766176,4.03904594262969e-318," "," ","X","X"," "," ","X",109,3
"110",22658.6446100122,1473.78138977649,8.67085208451388e-321," "," ","X"," "," "," ","X",110,2
"111",22661.0041907536,1476.14097051789,2.66301383108432e-321,"X"," ","X","X","X"," "," ",111,4
"112",22692.7740331841,1507.91081294839,0,"X"," "," ","X","X"," "," ",112,3
"113",22713.9719296072,1529.10870937147,0,"X"," ","X","X"," "," "," ",113,3
"114",22780.5744782116,1595.71125797588,0," "," "," ","X"," "," ","X",114,2
"115",22791.6075432223,1606.74432298661,0," "," "," "," "," "," ","X",115,1
"116",22793.2404716419,1608.37725140621,0,"X"," ","X"," ","X"," "," ",116,3
"117",22824.0245435317,1639.16132329599,0,"X"," "," "," ","X"," "," ",117,2
"118",22847.6586136858,1662.79539345013,0,"X"," ","X"," "," "," "," ",118,2
"119",22853.7656646278,1668.90244439205,0,"X"," "," ","X"," "," "," ",119,2
"120",22986.5874109904,1801.72419075466,0,"X"," "," "," "," "," "," ",120,1
"121",23020.0003222667,1835.13710203095,0," "," ","X","X","X"," "," ",121,3
"122",23042.2995863144,1857.43636607865,0," "," "," ","X","X"," "," ",122,2
"123",23112.1999560268,1927.33673579108,0," "," ","X","X"," "," "," ",123,2
"124",23182.0282133892,1997.16499315351,0," "," ","X"," ","X"," "," ",124,2
"125",23203.0189804188,2018.1557601831,0," "," "," "," ","X"," "," ",125,1
"126",23261.2399783824,2076.37675814666,0," "," "," ","X"," "," "," ",126,1
"127",23278.1336873505,2093.27046711479,0," "," ","X"," "," "," "," ",127,1
"128",23426.6041877575,2241.74096752179,0," "," "," "," "," "," "," ",128,0
