"","ISO","name","region","AES","EGIDS","L1_pop","L1_pop_prop","island","documentation","area","bordering_language_richness","bordering_language_richness_perkm","bordering_language_evenness","language_richness","threatened_languages","threatened_prop_languages","language_evenness","official_status","language_of_education","minority_education","education_spending","years_of_schooling","GDPpc","life_expectancy_60","urban_change","roads","pop_density","human_footprint","cropland","pop_density_change","footprint_change","cropland_change","pasture","pasture_change","built","built_change","GINI","growing_season","temperature","temperature_seasonality","rainfall_seasonality","threatened_species","threatened_prop_species","waterways","roughness","altitude_range","world_language","Arabic","Malay","English","French","Hindustani","Mandarin","Portuguese","Russian","Spanish","Western_Africa","Oceania","Europe","Southern_Asia","South_America","Northern_America","Africa","South.Eastern_Asia","Arab","Asia","Central_America","Australia_and_New_Zealand","poly_definite","pol_borderline","isolates","family_id","vehicularity","mono_family","isolate_or_mono","small_family","family_sizes","isolate_OR_small_family","poly","Macroarea","islands11km"
"4967","skt","Sakata","Africa","not endangered","6a",75000,6279.404615,0,"detailed",17623.00382,7,0.010497499,0.821178028,2,0,0,1,0,0,1,2.006820023,5.4,334.0215726,16.62404451,21.58,0.211427458,13.63664764,5.680627043,5.63e-05,13.05813181,5.333394823,5.63e-05,0.00185654,0.001740506,0,0,42.2,319,298.5872247,49.27549415,44.15839096,6.5,0.045582151,0.056891196,3.843743384,145.2298813,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,"atla1278",FALSE,FALSE,FALSE,FALSE,1301,FALSE,"All Languages","Africa",FALSE
"4968","sku","Wanohe","Oceania","not endangered","6a",4000,458.7530305,1,"detailed",342.1751023,4,0.029469348,0.941595766,25,21,0.84,0.938038056,0,0,0,5.281409979,6.7,2868.035416,18.01422071,14.759,0.242623705,6.623066391,10.6983176,0.584,6.349650476,10.28517275,0.584,0,0,0,0,38.1,366,298.8143654,76.29414892,28.86169553,5,0.131578947,0.034386698,5.940822124,215.368988,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"aust1307",FALSE,FALSE,FALSE,FALSE,1149,FALSE,"All Languages","Papunesia",TRUE
"4969","skv","Skou","South-Eastern Asia","shifting","6a",700,9.363966441,0,"detailed",248.483304,3,0.042229221,0.776649014,20,11,0.55,0.160729199,0,0,0.15978874,3.042388536,7.024760536,2931.563853,16.56414339,35.16812483,0.042085825,468.5632005,5.27580968,0.34,457.0938949,5.202570235,0.34,0,0,0,0,45.95153523,366,299.8919394,33.79235744,22.95412683,5,0.047169811,0.014534147,6.021802902,589.8666229,1,0,0.84021126,0.15978874,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,"skoo1245",FALSE,FALSE,FALSE,FALSE,6,FALSE,"All Languages","Papunesia",FALSE
"4970","skw","Skepi Creole Dutch","South America","extinct","10",0,0,0,"little or none",12547.34744,0,0,0,2,0,0,0.02056372,0,0,0,3.752279997,8.1,3033.247725,16.03593439,-2.471,0.127040028,2.779402937,2.081222502,0.00288,2.580802695,1.943834911,0.002172308,0.01044,0.009785,0.00168,0.001408,46.3,364,299.5553191,58.43618032,46.54783816,11,0.041509434,0.076289451,4.402245522,447.1878662,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"indo1319",FALSE,FALSE,FALSE,FALSE,395,FALSE,"All Languages","South America",FALSE
"4971","skx","Seko Padang","South-Eastern Asia","not endangered","6a",5000,92.95641426,0,"basic",266.1715365,2,0.026596008,0.503258335,7,2,0.285714286,0.330663644,0,0,0,3.238724947,7.6,3122.362815,16.5115696,40.073,0.134969063,45.66897684,4.735230145,0.046666667,43.65432942,4.487194928,0.046666667,0,0,0,0,45.6,350,292.3583887,44.98678736,40.54053673,18,0.147540984,0,6.963805676,1543.032959,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,"aust1307",FALSE,FALSE,FALSE,FALSE,1149,FALSE,"All Languages","Papunesia",FALSE
"4972","sky","Sikaiana","Oceania","moribund","7",730,NA,1,"basic",5.435313848,0,0,0,0,0,0,0,0,0,0,9.416944981,5.1,1329.960289,17.42621233,17.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,NA,NA,NA,NA,0,0,NA,NA,83.34767151,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"aust1307",FALSE,FALSE,FALSE,FALSE,1149,FALSE,"All Languages","Papunesia",FALSE
"4973","skz","Sekar","South-Eastern Asia","threatened","6b",450,54.61477103,0,"little or none",40.20293274,2,0.041102279,0.202798273,12,10,0.833333333,0.752008286,0,0,0,3.238724947,7.6,3122.362815,16.5115696,40.073,0.336329822,8.239529189,6.90557198,0.25024,7.947466898,6.606913353,0.247310769,0,0,0,0,45.6,366,300.3435387,44.12627411,13.72454357,3,0.038461538,0.03029335,5.794586897,523.0792236,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,"aust1307",FALSE,FALSE,FALSE,FALSE,1149,FALSE,"All Languages","Papunesia",FALSE
"4974","slc","Sáliba","South America","nearly extinct","7",1550,248.2161541,0,"detailed",2484.970111,6,0.016507289,0.000856,3,1,0.333333333,0.000784,0,0,1,4.159503252,7.969661602,9326.447699,21.12194211,31.28867635,0.178219496,13.77846854,5.746293264,0.005360825,13.27884492,5.441892029,0.005265662,0.275154639,0.257860825,0.032164948,0.030295533,45.31866206,290.1666667,300.1797182,110.1451337,68.44912717,9.6,0.044196895,0.090364455,3.762101054,221.4395657,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"sali1297",FALSE,FALSE,FALSE,FALSE,3,FALSE,"All Languages","South America",FALSE
"4975","sld","Sissala of Burkina Faso","Western Africa","not endangered","5",13000,217.0898415,0,"basic",1214.681057,5,0.025015785,0.820227521,10,0,0,0.770466726,0,0,0.961200593,4.535521368,1.605636858,673.1140134,15.28990507,24.35774079,0.261065968,40.35511389,11.14633729,0.696923077,38.57523421,10.74098929,0.696923077,0.061346154,0.049627404,0,0,39.9023792,170,300.7493212,197.8259608,108.2755091,4,0.031746032,0.01628375,3.872328758,104.1150436,1,0,0,0.038799407,0.961200593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"atla1278",FALSE,FALSE,FALSE,FALSE,1301,FALSE,"All Languages","Africa",FALSE
"4976","sle","Sholaga","Southern Asia","threatened","6a",24000,57.88821982,0,"detailed",1065.232681,1,0.007969361,0,8,2,0.25,0.345778635,0,0,1,3.42347002,5.4,1357.563719,17.73565852,15.676,0.32932681,413.5264884,18.19125961,0.955238095,392.1769234,17.28507969,0.908864469,0,0,0.011428571,0.011428571,46.45,217,297.2796264,186.3111659,84.44708761,26,0.198412698,0.060497112,5.967473507,792.9188232,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"drav1251",FALSE,FALSE,FALSE,FALSE,72,FALSE,"All Languages","Eurasia",FALSE
