"Language_ID","boundness","boundness_st","ISO","Informativity","informativity_st","island_endemic","L1_pop","area","min_dist11k","min_dist25k","min_distCont"
"sout2976",0.452830188679245,0.983317881045385,"stp",0.408163265306122,1.26268539784956,FALSE,10600,4293.22014279477,0,0,0
"sout2985",0.433962264150943,0.849173857817725,"skd",0.297872340425532,-0.0932903638451774,FALSE,7,1799.03603133187,0,0,0
"sout2989",0.454545454545454,0.9955127922479,"enx",0.433962264150943,1.57987212148473,FALSE,NA,NA,0,0,0
"sout2994",0.314814814814815,0.00207919262083235,"nab",0.307692307692308,0.0274415785952384,FALSE,720,21651.7361570327,0,0,0
"sout2996",0.418181818181818,0.73698067475459,"ayc",0.333333333333333,0.342686094967434,FALSE,219000,9345.94610536564,0,0,0
"sril1245",0.272727272727273,-0.297147795218646,"sci",0.222222222222222,-1.02337347597875,FALSE,NA,90.6248304573819,0,0,0
"stan1289",0.418181818181818,0.73698067475459,"cat",0.425925925925926,1.48106907075592,FALSE,3900000,54752.1631408817,0,0,0
"stan1290",0.472727272727273,1.12477885099455,"fra",0.296296296296296,-0.11266709534796,FALSE,NA,1331139.58743366,0,0,0
"stan1293",0.290909090909091,-0.167881736471991,"eng",0.296296296296296,-0.11266709534796,FALSE,NA,15411733.8452388,0,0,0
"stan1306",0.2,-0.814212030205264,"zsm",0.25,-0.681858583242202,FALSE,NA,900.459014423774,0,0,0
"stan1318",0.531914893617021,1.54558112734005,"arb",0.372549019607843,0.824824767066086,FALSE,NA,920612.602608532,0,0,0
"suda1237",0.2,-0.814212030205264,"pga",0.170212765957447,-1.66280561557058,FALSE,NA,81816.5194352702,0,0,0
"sude1239",0.326923076923077,0.0881644952761899,"tgo",0.318181818181818,0.156405244383864,TRUE,2000,767.88521820493,280154.526822502,280154.526822502,935939.616211827
"sume1241",0.372549019607843,0.412548213586516,"sux",0.285714285714286,-0.242768006866644,FALSE,NA,NA,0,0,0
"sumi1235",0.290909090909091,-0.167881736471991,"nsm",0.30188679245283,-0.0439345383192214,FALSE,104000,2001.15671235323,0,0,0
"sund1252",0.229166666666667,-0.606847727632506,"sun",0.196078431372549,-1.34479925737785,FALSE,34000000,37369.6960377414,0,0,0
"sunw1242",0.313725490196078,-0.00566550588795424,"suz",0.28,-0.313022499086733,FALSE,38200,811.980152640492,0,0,0
"supy1237",0.309090909090909,-0.0386156777253368,"spp",0.296296296296296,-0.11266709534796,FALSE,350000,12285.7730033742,0,0,0
"surs1246",0.196078431372549,-0.842092944836895,"sgz",0.232558139534884,-0.896298167053522,TRUE,3000,666.271109003574,30019.1670348989,30019.1670348989,1261134.28025275
"swah1253",0.518518518518518,1.45033781376391,"swh",0.4,1.16232183753514,FALSE,15333360,116255.038615133,0,0,0
"swed1254",0.345454545454545,0.219916439767972,"swe",0.307692307692308,0.0274415785952384,FALSE,9111000,456259.320769227,0,0,0
"taba1263",0.245283018867925,-0.492266374458879,"tby",0.226415094339623,-0.971824058207194,FALSE,15000,1529.79524144856,0,0,0
"tabo1241",0.458333333333333,1.02244322115345,"knv",0.297872340425532,-0.0932903638451774,FALSE,3000,745.878656392917,0,0,0
"taga1272",0.173076923076923,-1.00562523258012,"bgs",0.209302325581395,-1.18221761213528,FALSE,43000,242.199849195778,0,0,0
"taha1241",0.518518518518518,1.45033781376391,"thv",0.4,1.16232183753514,FALSE,77000,534019.466800955,0,0,0
"tahi1242",0.127272727272727,-1.33127626519188,"tah",0.339622641509434,0.420010221624765,TRUE,63000,1545.5976690799,3701609.92332973,3701609.92332973,5668106.83321713
"taia1239",0.354166666666667,0.281856426250744,"gpn",0.319148936170213,0.16829551144239,FALSE,75,69.7334467563778,0,0,0
"taji1246",0.259259259259259,-0.392900431327279,"tdj",0.22,-1.05069466739767,FALSE,12000,467.80757025053,0,0,0
