"LANG_ISO","area","L1_pop","Bordering_LR","IE","PC_Phoible","PC_Creanza","min_dist11k","min_dist25k","min_distCont","max_areakm2","in_Phoible","in_Creanza","macroarea","macroarea_Africa","macroarea_Australia","macroarea_Eurasia","macroarea_North America","macroarea_Papunesia","macroarea_South America","macroarea_NA"
"bpz",176.349798177369,7000,4,TRUE,NA,NA,3531.23801015242,3531.23801015242,457685.690711294,1248.06052813213,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bqa",139.994125053723,2500,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bqb",827.229025357869,300,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bqc",10408.8195550922,150000,8,FALSE,34,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"bqd",484.358249549521,3,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bqf",7390.92521145358,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"bqg",379.250360779188,7500,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bqh",3175.23987709731,10000,3,FALSE,66,NA,0,0,0,NA,FALSE,TRUE,"Eurasia",0,0,1,0,0,0,0
"bqi",35526.6695055645,1000000,6,FALSE,36,NA,0,0,0,NA,FALSE,TRUE,"Eurasia",0,0,1,0,0,0,0
"bqj",259.490206014598,11200,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bqk",15566.3263615778,42500,11,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bql",21.4786555571482,30,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bqm",1043.820475068,4000,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bqo",65.1269300467684,2230,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bqp",2379.94604766046,48000,10,FALSE,31,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"bqq",672.009215793572,250,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bqr",1946.25267039891,4350,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bqs",64.6474821958691,1300,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bqt",115.973967601662,12000,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bqu",8757.10072753287,0,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bqv",1468.1864524394,106000,5,FALSE,36,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"bqw",27.3945490399492,1000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bqx",538.098273455864,15000,5,FALSE,56,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"bqz",753.109200444131,30000,6,FALSE,97,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"bra",110344.683746407,574000,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
